Countries,gdp_usd,human_capital_index,total_deaths,total_recoveries,total_tested,total_active_cases,mean_smoking_prevalence,mean_diabetes_prevalence,mean_hospital_beds_per_1000,mean_nurses_per_1000,mean_physicians_per_1000,mean_health_expenditure_usd,population,population_density,human_development_index,mobility_residential,mobility_workplaces,mobility_transit_stations,mobility_grocery_and_pharmacy,mobility_parks,total_vaccinated
Niger,0.0,0.36,0.0,0.0,0.0,0.0,0.16,0.08,0.03,0.01,0.01,0.0,0.02,0.0,0.37,0.27,0.62,1.0,0.25,0.41,0.0
Nigeria,0.02,0.39,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.06,0.05,0.01,0.14,0.01,0.56,0.79,0.6,0.63,0.28,0.3,0.03
Nicaragua,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.08,0.12,0.02,0.0,0.0,0.66,0.32,0.57,0.49,0.33,0.25,0.01
Netherlands,0.04,0.9,0.02,0.0,0.03,0.09,0.55,0.18,0.0,0.57,0.43,0.48,0.01,0.02,0.97,0.46,0.14,0.09,0.14,0.62,0.01
Norway,0.02,0.87,0.0,0.0,0.01,0.02,0.43,0.17,0.0,0.94,0.35,0.77,0.0,0.0,1.0,0.37,0.13,0.18,0.16,0.6,0.0
Nepal,0.0,0.55,0.01,0.0,0.01,0.01,0.49,0.24,0.0,0.16,0.09,0.0,0.02,0.01,0.6,0.51,0.45,0.61,0.4,0.42,0.02
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.39,0.0,0.39,0.16,0.11,0.0,0.02,0.0,0.17,0.54,0.43,0.12,0.23,0.0
New Zealand,0.01,0.87,0.0,0.0,0.0,0.02,0.34,0.2,0.0,0.64,0.43,0.38,0.0,0.0,0.96,0.49,0.38,0.05,0.15,0.14,0.0
Oman,0.0,0.7,0.0,0.0,0.0,0.0,0.24,0.33,0.0,0.22,0.24,0.06,0.0,0.0,0.86,0.36,0.18,0.1,0.1,0.11,0.0
Panama,0.0,0.6,0.01,0.0,0.01,0.01,0.13,0.25,0.0,0.16,0.19,0.11,0.0,0.0,0.82,0.8,0.2,0.13,0.06,0.01,0.0
Peru,0.01,0.66,0.22,0.0,0.0,0.05,0.1,0.22,0.0,0.13,0.15,0.03,0.02,0.0,0.78,0.86,0.23,0.12,0.08,0.12,0.03
Papua New Guinea,0.0,0.43,0.0,0.0,0.0,0.0,0.77,0.59,0.0,0.02,0.01,0.01,0.01,0.0,0.58,0.17,0.54,0.43,0.12,0.23,0.0
Philippines,0.02,0.62,0.06,0.0,0.03,0.04,0.52,0.23,0.0,0.25,0.07,0.01,0.07,0.01,0.73,1.0,0.16,0.07,0.21,0.22,0.08
Pakistan,0.01,0.44,0.03,0.0,0.07,0.02,0.43,0.65,0.0,0.03,0.12,0.0,0.15,0.01,0.59,0.32,0.65,0.67,0.41,0.37,0.14
Poland,0.03,0.85,0.12,0.0,0.03,0.07,0.6,0.2,0.0,0.35,0.28,0.09,0.03,0.0,0.88,0.33,0.34,0.29,0.23,0.58,0.02
Puerto Rico,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.51,0.22,0.13,0.05,0.12,0.0
Palestine,0.0,0.63,0.01,0.0,0.0,0.01,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Portugal,0.01,0.88,0.03,0.0,0.05,0.06,0.48,0.32,0.0,0.36,0.61,0.19,0.01,0.0,0.87,0.56,0.19,0.2,0.23,0.37,0.01
Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.59,0.0,0.37,0.0,0.16,0.0,0.0,0.83,0.17,0.54,0.43,0.12,0.23,0.0
Paraguay,0.0,0.6,0.02,0.0,0.0,0.01,0.29,0.31,0.0,0.09,0.16,0.04,0.0,0.0,0.73,0.52,0.53,0.15,0.16,0.13,0.0
Qatar,0.01,0.7,0.0,0.0,0.01,0.0,0.44,0.51,0.0,0.37,0.3,0.16,0.0,0.01,0.89,0.41,0.48,0.36,0.26,0.18,0.0
Romania,0.01,0.68,0.07,0.01,0.0,0.03,0.63,0.23,0.0,0.38,0.35,0.05,0.01,0.0,0.85,0.24,0.2,0.22,0.17,0.27,0.01
Serbia,0.0,0.85,0.02,0.0,0.01,0.03,0.83,0.3,0.0,0.31,0.37,0.05,0.0,0.0,0.81,0.17,0.29,0.42,0.28,0.37,0.0
Russia,0.08,0.82,0.39,0.0,0.17,0.22,0.84,0.2,0.0,0.44,0.48,0.06,0.1,0.0,0.85,0.22,0.21,0.38,0.13,0.37,0.08
Rwanda,0.0,0.42,0.0,0.0,0.0,0.0,0.26,0.17,0.0,0.06,0.02,0.0,0.01,0.02,0.55,0.91,0.46,0.37,0.12,0.59,0.01
Saudi Arabia,0.04,0.66,0.01,0.0,0.05,0.01,0.33,0.52,0.0,0.28,0.31,0.11,0.02,0.0,0.89,0.53,0.4,0.17,0.25,0.22,0.03
Solomon Islands,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.11,0.02,0.01,0.0,0.0,0.57,0.17,0.54,0.43,0.12,0.23,0.0
Seychelles,0.0,0.77,0.0,0.0,0.0,0.0,0.46,0.4,0.0,0.42,0.25,0.08,0.0,0.01,0.83,0.17,0.54,0.43,0.12,0.23,0.0
Sudan,0.0,0.43,0.01,0.0,0.0,0.0,0.0,0.72,0.0,0.04,0.03,0.02,0.03,0.0,0.52,0.17,0.54,0.43,0.12,0.23,0.0
Sweden,0.03,0.9,0.02,0.0,0.02,0.03,0.4,0.16,0.0,0.61,0.47,0.58,0.01,0.0,0.95,0.4,0.15,0.15,0.13,0.76,0.01
Singapore,0.02,1.0,0.0,0.0,0.02,0.02,0.35,0.18,0.21,0.32,0.27,0.26,0.0,0.32,0.97,0.87,0.23,0.16,0.12,0.14,0.01
Slovenia,0.0,0.89,0.01,0.0,0.02,0.01,0.48,0.19,0.0,0.51,0.37,0.19,0.0,0.0,0.92,0.37,0.23,0.32,0.06,0.55,0.0
Slovakia,0.0,0.79,0.02,0.0,0.06,0.02,0.64,0.21,0.5,0.31,0.41,0.12,0.0,0.0,0.88,0.39,0.23,0.26,0.19,0.53,0.0
Sierra Leone,0.0,0.4,0.0,0.0,0.0,0.0,0.53,0.08,0.0,0.01,0.0,0.01,0.01,0.0,0.44,0.17,0.54,0.43,0.12,0.23,0.0
San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.33,0.0,0.02,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Senegal,0.0,0.47,0.0,0.0,0.0,0.0,0.17,0.08,0.0,0.02,0.01,0.01,0.01,0.0,0.53,0.43,0.41,0.42,0.31,0.26,0.0
Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.41,0.0,0.14,0.14,0.03,0.0,0.0,0.75,0.17,0.54,0.43,0.12,0.23,0.0
South Sudan,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.01,0.0,0.41,0.17,0.54,0.43,0.12,0.23,0.0
São Tomé and Príncipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.1,0.01,0.01,0.0,0.01,0.62,0.17,0.54,0.43,0.12,0.23,0.0
El Salvador,0.0,0.57,0.0,0.0,0.0,0.0,0.21,0.29,0.0,0.09,0.19,0.03,0.0,0.01,0.73,0.48,0.33,0.44,0.23,0.15,0.0
Swaziland,0.0,0.46,0.0,0.0,0.0,0.0,0.19,0.15,0.0,0.21,0.04,0.02,0.0,0.0,0.61,0.17,0.54,0.43,0.12,0.23,0.0
Chad,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.01,0.0,0.01,0.0,0.42,0.17,0.54,0.43,0.12,0.23,0.0
Togo,0.0,0.47,0.0,0.0,0.0,0.0,0.16,0.08,0.0,0.02,0.01,0.0,0.01,0.01,0.53,0.58,0.74,0.51,0.42,0.74,0.0
Thailand,0.03,0.68,0.03,0.02,0.03,0.05,0.42,0.23,0.0,0.14,0.1,0.02,0.05,0.01,0.79,0.42,0.33,0.08,0.21,0.11,0.06
Tajikistan,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.01,0.01,0.0,0.68,0.36,0.35,0.21,0.12,0.19,0.01
East Timor,0.0,0.49,0.0,0.0,0.0,0.0,0.91,0.22,0.0,0.09,0.09,0.01,0.0,0.0,0.65,0.17,0.54,0.43,0.12,0.23,0.0
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.74,0.17,0.54,0.43,0.12,0.23,0.0
Tunisia,0.0,0.57,0.03,0.0,0.0,0.01,0.7,0.28,0.2,0.13,0.15,0.02,0.01,0.0,0.77,0.17,0.54,0.43,0.12,0.23,0.01
Tonga,0.0,0.58,0.0,0.0,0.0,0.0,0.59,0.51,0.0,0.21,0.0,0.02,0.0,0.01,0.76,0.17,0.54,0.43,0.12,0.23,0.0
Turkey,0.04,0.71,0.1,0.0,0.18,0.18,0.58,0.36,0.0,0.14,0.22,0.04,0.06,0.0,0.86,0.37,0.35,0.43,0.35,0.38,0.06
Trinidad and Tobago,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.21,0.49,0.11,0.0,0.01,0.82,0.43,0.17,0.15,0.29,0.18,0.0
Tuvalu,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.22,0.0,0.06,0.0,0.01,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Tanzania,0.0,0.45,0.0,0.0,0.0,0.0,0.31,0.19,0.0,0.03,0.0,0.0,0.04,0.0,0.56,0.47,0.55,0.63,0.35,0.43,0.02
Ukraine,0.01,0.73,0.11,0.02,0.01,0.06,0.61,0.2,0.0,0.0,0.0,0.02,0.03,0.0,0.78,0.17,0.16,0.33,0.16,0.32,0.02
Uganda,0.0,0.43,0.0,0.0,0.0,0.0,0.21,0.08,0.0,0.06,0.02,0.0,0.03,0.01,0.54,0.88,0.57,0.23,0.15,0.33,0.01
United States of America,1.0,0.86,1.0,0.0,1.0,1.0,0.46,0.35,0.0,0.75,0.31,1.0,0.23,0.0,0.96,0.47,0.09,0.18,0.1,0.34,0.24
Uruguay,0.0,0.68,0.01,0.0,0.01,0.01,0.36,0.24,0.0,0.1,0.6,0.16,0.0,0.0,0.84,0.45,0.49,0.25,0.09,0.01,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.21,0.0,0.0,0.0,0.01,0.02,0.0,0.74,0.17,0.54,0.43,0.12,0.23,0.02
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.36,0.0,0.03,0.0,0.01,0.76,0.17,0.54,0.43,0.12,0.23,0.0
United States Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Vietnam,0.01,0.75,0.04,0.0,0.03,0.12,0.49,0.2,0.0,0.07,0.1,0.01,0.07,0.01,0.73,0.29,0.35,0.18,0.14,0.16,0.09
Vanuatu,0.0,0.53,0.0,0.0,0.0,0.0,0.4,0.39,0.0,0.07,0.02,0.01,0.0,0.0,0.63,0.17,0.54,0.43,0.12,0.23,0.0
Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.3,0.0,0.13,0.04,0.02,0.0,0.0,0.75,0.17,0.54,0.43,0.12,0.23,0.0
Yemen,0.0,0.42,0.0,0.0,0.0,0.0,0.39,0.18,0.0,0.04,0.0,0.01,0.02,0.0,0.47,0.3,0.96,0.76,0.71,0.69,0.0
South Africa,0.02,0.46,0.1,0.0,0.03,0.04,0.43,0.42,0.0,0.07,0.11,0.05,0.04,0.0,0.73,0.79,0.33,0.25,0.23,0.22,0.02
Zambia,0.0,0.45,0.0,0.0,0.0,0.0,0.29,0.15,0.0,0.07,0.14,0.01,0.01,0.0,0.61,0.59,0.73,0.52,0.45,0.59,0.01
Zimbabwe,0.0,0.5,0.01,0.0,0.0,0.0,0.34,0.06,0.0,0.1,0.02,0.01,0.01,0.0,0.56,0.56,0.88,0.78,0.5,0.61,0.01
